NO,DATE,D,T1,T2,W1,W2,F1,F2,DW,TIME,DT,V,PM10,WS,WD,T,RH,Pb,Cd,Fe,Mn,Mg,Ni,Zn,Be,Ca,Cu,Note
39,15/02/2012,Wed,7:54,16:22,0.07310,0.07327,5,5,0.00017,8:28,508,2540,66.93,1.13,87,29.53,67.70,0.0000,0.0000,0.0011,0.0000,0.0007,0.0000,0.0022,0.0000,0.0002,0.0001,Slightly hazy
40,18/02/2012,Sat,8:28,16:54,0.07275,0.07282,5,5,0.00007,8:26,506,2530,27.67,2.06,172,29.20,67.87,0.0000,0.0000,0.0005,0.0000,0.0003,0.0000,0.0024,0.0000,0.0024,0.0009,
41,22/02/2012,Wed,8:14,16:06,0.05433,0.05445,5,5,0.00012,7:52,472,2360,50.85,NA,NA,NA,NA,0.0000,0.0000,0.0050,0.0001,0.0011,0.0001,0.0032,0.0000,0.0039,0.0002,
42,25/02/2012,Sat,8:08,16:10,0.05383,0.05393,5,5,0.00010,8:02,482,2410,41.49,NA,NA,NA,NA,0.0000,0.0000,0.0000,0.0001,0.0012,0.0000,0.0027,0.0000,0.0086,0.0002,
43,29/02/2012,Wed,8:00,16:05,0.05461,0.05477,5,5,0.00016,8:05,485,2425,65.98,2.36,156,28.80,72.52,0.0000,0.0000,0.0111,0.0001,0.0006,0.0000,0.0010,0.0000,0.0000,0.0002,Position of weather station changed to closer to gate
44,03/03/2012,Sat,8:00,16:30,0.05370,0.05382,5,5,0.00012,8:30,510,2550,47.06,1.13,161,27.74,72.34,0.0000,0.0000,0.0006,0.0000,0.0013,0.0000,0.0062,0.0000,0.0163,0.0000,Drizzling in the morning.
45,07/03/2012,Wed,7:56,16:00,0.05420,0.05429,5,5,0.00009,8:04,484,2420,36.50,1.51,163,29.11,71.75,0.0000,0.0000,0.0000,0.0001,0.0016,0.0000,0.0020,0.0000,0.0000,0.0000,
46,14/03/2012,Wed,8:14,16:22,0.05593,0.05614,5,5,0.00021,8:08,488,2440,87.43,2.73,166,29.46,68.46,0.0000,0.0000,0.0000,0.0001,0.0057,0.0001,0.0072,0.0000,0.0375,0.0001,Cloudy skies in the morning.
47,21/03/2012,Wed,8:12,16:20,0.05568,0.05582,5,5,0.00014,8:08,488,2440,56.69,1.57,158,29.02,75.41,0.0043,0.0004,0.0019,0.0001,0.0088,0.0001,0.0098,0.0000,0.0400,0.0003,
48,24/03/2012,Sat,8:01,16:05,0.05734,0.05753,5,5,0.00019,8:04,484,2420,77.82,1.68,158,30.79,65.39,0.0000,0.0000,0.0020,0.0001,0.0069,0.0000,0.0042,0.0000,0.0129,0.0000,
49,28/03/2012,Wed,8:00,16:10,0.06118,0.06129,5,5,0.00011,8:10,490,2450,43.54,3.28,134,29.31,70.35,0.0000,0.0000,0.0009,0.0001,0.0022,0.0000,0.0039,0.0000,0.0070,0.0000,
50,30/03/2012,Fri,8:06,16:18,0.06181,0.06196,5,5,0.00015,8:12,492,2460,60.30,1.48,137,29.93,65.76,0.0000,0.0000,0.0011,0.0001,0.0058,0.0001,0.0072,0.0000,0.0284,0.0001,
51,04/04/2012,Wed,8:06,16:15,0.06486,0.06490,5,5,0.00005,8:09,489,2445,18.40,2.31,163,29.49,71.95,0.0000,0.0000,0.0016,0.0001,0.0022,0.0000,0.0031,0.0000,0.0004,0.0000,
52,08/04/2012,Sun,8:02,16:00,0.06515,0.06524,5,5,0.00009,7:58,478,2390,36.96,1.83,141,30.49,65.23,0.0000,0.0000,0.0004,0.0001,0.0041,0.0001,0.0056,0.0000,0.0213,0.0000,
53,11/04/2012,Wed,8:00,16:31,0.07277,0.07293,5,5,0.00015,8:31,511,2555,59.36,NA,NA,NA,NA,0.0000,0.0000,0.0005,0.0002,0.0048,0.0000,0.0037,0.0000,0.0160,0.0000,
54,14/04/2012,Sat,8:00,16:03,0.07282,0.07298,5,5,0.00016,8:03,483,2415,66.25,NA,NA,NA,NA,0.0000,0.0000,0.0006,0.0001,0.0043,0.0000,0.0036,0.0000,0.0120,0.0001,
55,18/04/2012,Wed,8:00,16:13,0.05453,0.05467,5,5,0.00014,8:13,493,2465,55.44,1.88,110,30.85,65.87,0.0000,0.0000,0.0007,0.0001,0.0032,0.0000,0.0025,0.0000,0.0181,0.0002,
56,22/04/2012,Sun,8:00,16:05,0.05434,0.05447,5,5,0.00013,8:05,485,2425,52.92,2.26,136,30.38,72.14,0.0000,0.0000,0.0000,0.0001,0.0009,0.0000,0.0012,0.0000,0.0000,0.0000,
57,25/04/2012,Wed,7:55,16:32,0.05505,0.05521,5,5,0.00017,8:37,517,2585,65.12,1.52,144,29.74,72.98,0.0000,0.0000,0.0016,0.0000,0.0000,0.0003,0.0019,0.0000,0.0023,0.0002,Rained at 12:30 pm. Second ICP batch starts.
58,03/05/2012,Thu,7:58,16:27,0.05393,0.05399,5,5,0.00006,8:29,509,2545,24.75,1.44,151,27.09,78.16,0.0000,0.0000,0.0020,0.0000,0.0000,0.0002,0.0020,0.0000,0.0034,0.0005,Drizzling in the morning.
59,06/05/2012,Sun,7:51,15:50,0.05502,0.05514,5,5,0.00012,7:59,479,2395,50.10,0.73,97,28.61,78.45,0.0000,0.0000,0.0014,0.0000,0.0000,0.0003,0.0017,0.0000,0.0024,0.0001,Drizzling in the morning. Forgot to install impactor.
60,09/05/2012,Wed,7:30,16:11,0.07954,0.07967,5,5,0.00013,8:41,521,2605,51.18,1.98,200,31.16,63.02,0.0000,0.0000,0.0028,0.0000,0.0000,0.0004,0.0059,0.0000,0.0076,0.0002,
61,13/05/2012,Sun,7:56,15:58,0.08165,0.08175,5,5,0.00010,8:02,482,2410,40.11,0.96,113,28.47,73.08,0.0000,0.0000,0.0028,0.0000,0.0032,0.0073,0.0104,0.0000,0.0132,0.0003,
62,16/05/2012,Wed,7:54,16:01,0.07826,0.07848,5,5,0.00022,8:07,487,2435,91.03,1.86,121,30.24,71.28,0.0000,0.0000,0.0027,0.0000,0.0164,0.0009,0.0053,0.0000,0.0079,0.0003,Rained at 10:20 a.m.  Workers were cutting grass.
63,19/05/2012,Sat,8:00,16:02,0.06580,0.06590,5,5,0.00010,8:02,482,2410,43.57,3.02,116,30.29,69.97,0.0000,0.0000,0.0040,0.0000,0.0002,0.0006,0.0044,0.0000,0.0106,0.0004,
64,24/05/2012,Thu,8:18,16:34,0.08016,0.08020,5,5,0.00004,8:16,496,2480,17.47,1.38,97,29.22,69.87,0.0000,0.0000,0.0038,0.0001,0.0070,0.0007,0.0096,0.0000,0.0175,0.0003,
65,27/05/2012,Sun,7:57,16:14,0.07899,0.07922,5,5,0.00023,8:17,497,2485,91.88,2.46,132,29.15,68.43,0.0000,0.0000,0.0023,0.0000,0.0012,0.0004,0.0035,0.0000,0.0052,0.0002,Slightly hazy
66,31/05/2012,Thu,7:58,16:00,0.07760,0.07767,5,5,0.00007,8:02,482,2410,29.74,1.49,142,29.21,72.51,0.0000,0.0000,0.0017,0.0000,0.0116,0.0002,0.0025,0.0000,0.0054,0.0001,Slighty hazy. Rained in the afternoon.
67,06/06/2012,Wed,8:00,16:00,0.07246,0.07259,5,5,0.00013,8:00,480,2400,56.25,2.65,140,27.75,82.37,0.0000,0.0000,0.0019,0.0000,0.0010,0.0002,0.0048,0.0000,0.0018,0.0001,Rained heavily at 11 am.  Volume flowrate was high > 5 L/min.
68,09/06/2012,Sat,8:03,16:09,0.07162,0.07182,5,5,0.00020,8:06,486,2430,81.62,4.22,150,29.82,73.84,0.0000,0.0000,0.0018,0.0000,0.0016,0.0001,0.0021,0.0000,0.0084,0.0000,
69,14/06/2012,Thu,8:04,16:09,0.06518,0.06548,5,5,0.00030,8:05,485,2425,121.65,2.48,122,30.99,65.66,0.0000,0.0000,0.0029,0.0000,0.0034,0.0002,0.0044,0.0000,0.0094,0.0000,"Haze episode started on 6/11/2012 due to riots in Myanmar, burning of houses etc. since Sunday. Progressively worse with day"
70,16/06/2012,Sat,8:05,16:46,0.06541,0.06570,5,5,0.00029,8:41,521,2605,113.24,2.09,141,30.95,60.92,0.0000,0.0000,0.0061,0.0001,0.0000,0.0005,0.0048,0.0000,0.0087,0.0002,
71,20/06/2012,Wed,8:03,16:28,0.06055,0.06092,5,5,0.00037,8:25,505,2525,145.87,3.94,147,30.36,69.94,0.0000,0.0000,0.0021,0.0000,0.0000,0.0002,0.0026,0.0000,0.0004,0.0001,
72,27/06/2012,Wed,7:56,16:17,0.06446,0.06462,5,5,0.00015,8:21,501,2505,60.55,2.25,132,27.80,77.49,0.0000,0.0000,0.0022,0.0000,0.0000,0.0002,0.0059,0.0000,0.0055,0.0001,Rain in the afternoon
73,30/06/2012,Sat,8:02,16:07,0.06063,0.06071,5,5,0.00008,8:05,485,2425,31.62,2.46,121,29.55,72.20,0.0000,0.0000,0.0023,0.0000,0.0000,0.0004,0.0059,0.0000,0.0045,0.0001,
74,04/07/2012,Wed,8:05,16:18,0.05470,0.05474,5,5,0.00004,8:13,493,2465,18.26,1.50,163,26.13,82.20,0.0000,0.0000,0.0019,0.0000,0.0013,0.0002,0.0076,0.0000,0.0060,0.0001,Rain throughout the day
75,07/07/2012,Sat,8:07,16:08,0.05514,0.05522,5,5,0.00008,8:01,481,2405,33.40,1.55,135,28.89,74.87,0.0000,0.0000,0.0030,0.0001,0.0046,0.0003,0.0025,0.0000,0.0086,0.0001,
76,11/07/2012,Wed,7:54,16:31,0.05524,0.05529,5,5,0.00005,8:37,517,2585,18.38,1.63,172,26.75,79.99,0.0000,0.0000,0.0027,0.0001,0.0060,0.0003,0.0096,0.0000,0.0140,0.0003,Rain throughout the day
77,14/07/2012,Sat,7:58,16:21,0.05415,0.05424,5,5,0.00010,8:23,503,2515,38.44,1.58,182,29.76,67.77,0.0000,0.0000,0.0022,0.0000,0.0000,0.0003,0.0014,0.0000,0.0022,0.0002,
78,19/07/2012,Thu,7:54,16:25,0.07850,0.07860,5,5,0.00010,8:31,511,2555,39.14,1.84,105,27.86,74.41,0.0000,0.0000,0.0026,0.0001,0.0117,0.0004,0.0046,0.0000,0.0184,0.0004,Rained heavily at 3:00 p.m.
79,25/07/2012,Wed,8:04,16:50,0.07911,0.07914,5,5,0.00003,8:46,526,2630,12.67,NA,NA,NA,NA,0.0000,0.0000,0.0029,0.0001,0.0007,0.0003,0.0053,0.0000,0.0112,0.0004,
80,28/07/2012,Sat,7:55,17:24,0.07897,0.07911,5,5,0.00015,9:29,569,2845,50.97,1.36,161,29.86,68.97,0.0000,0.0000,0.0028,0.0001,0.0063,0.0003,0.0036,0.0000,0.0123,0.0004,Slightly hazy
81,31/07/2012,Tue,8:03,16:22,0.07857,0.07876,5,5,0.00019,8:19,499,2495,76.15,1.81,136,30.12,69.90,0.0010,0.0000,0.0031,0.0001,0.0066,0.0004,0.0070,0.0000,0.0126,0.0003,Slightly hazy
82,05/08/2012,Sun,8:03,16:36,0.07153,0.07163,5,5,0.00010,8:33,513,2565,38.99,1.36,161,29.86,68.97,0.0000,0.0000,0.0028,0.0001,0.0503,0.0003,0.0039,0.0000,0.0240,0.0005,
83,08/08/2012,Wed,7:58,16:25,0.07192,0.07205,5,5,0.00013,8:27,505,2525,51.49,2.93,163,30.15,71.00,0.0000,0.0000,0.0030,0.0001,0.0000,0.0004,0.0030,0.0000,0.0071,0.0005,Slightly hazy
84,11/08/2012,Sat,8:01,16:01,0.06528,0.06553,5,5,0.00025,8:00,480,2400,104.17,3.57,180,30.42,65.43,0.0000,0.0000,0.0024,0.0000,0.0023,0.0003,0.0017,0.0000,0.0027,0.0006,Slightly hazy
85,15/08/2012,Wed,8:01,16:08,0.06562,0.06572,5,5,0.00010,8:07,487,2435,41.07,1.89,150,29.55,74.73,0.0000,0.0000,0.0026,0.0001,0.0000,0.0004,0.0038,0.0000,0.0011,0.0002,Rained briefly in the afternoon.
86,25/08/2012,Sat,8:07,16:08,0.06089,0.06096,5,5,0.00007,8:01,481,2405,29.11,1.20,94,28.91,71.61,0.0000,0.0000,0.0029,0.0001,0.0000,0.0003,0.0017,0.0000,0.0005,0.0001,
87,29/08/2012,Wed,8:15,16:16,0.06051,0.06058,5,5,0.00007,8:01,481,2405,29.11,1.66,117,29.02,69.68,0.0000,0.0000,0.0031,0.0001,0.0022,0.0003,0.0023,0.0000,0.0074,0.0006,
88,01/09/2012,Sat,7:54,16:16,0.07302,0.07311,5,5,0.00009,8:22,502,2510,35.86,3.75,177,29.83,68.89,0.0000,0.0000,0.0027,0.0001,0.0036,0.0003,0.0061,0.0000,0.0068,0.0002,
89,06/09/2012,Thu,8:09,16:13,0.07214,0.07218,5,5,0.00004,8:04,484,2420,16.53,0.89,137,27.71,77.52,0.0000,0.0000,0.0032,0.0001,0.0003,0.0004,0.0032,0.0000,0.0051,0.0002,Raining heavily in the morning.
90,09/09/2012,Sun,8:01,16:18,0.07191,0.07196,5,5,0.00005,8:17,497,2485,20.12,1.40,119,29.45,69.02,0.0000,0.0000,0.0027,0.0001,0.0000,0.0004,0.0010,0.0000,0.0078,0.0012,
91,12/09/2012,Wed,8:12,16:29,0.06740,0.06751,5,5,0.00011,8:17,497,2485,44.27,3.23,183,28.86,73.06,0.0002,0.0000,0.0033,0.0001,0.0000,0.0003,0.0029,0.0000,0.0084,0.0009,
92,15/09/2012,Sat,8:05,16:11,0.06482,0.06488,5,5,0.00006,8:06,486,2430,24.69,1.23,154,28.78,74.90,0.0000,0.0000,0.0031,0.0001,0.0000,0.0003,0.0017,0.0000,0.0098,0.0002,
93,19/09/2012,Wed,8:05,16:13,0.06199,0.06207,5,5,0.00008,8:08,488,2440,32.79,0.40,121,28.28,75.43,0.0000,0.0000,0.0023,0.0000,0.0000,0.0003,0.0018,0.0000,0.0009,0.0002,
94,03/10/2012,Wed,8:07,16:20,0.06066,0.06073,5,5,0.00007,8:13,493,2465,28.40,0.87,123,30.01,72.10,0.0000,0.0000,0.0028,0.0001,0.0000,0.0003,0.0039,0.0000,0.0051,0.0007,Raining in the afternoon.
95,06/10/2012,Sat,8:02,16:12,0.06159,0.06170,5,5,0.00011,8:10,490,2450,44.90,0.40,193,28.60,74.11,0.0000,0.0000,0.0022,0.0000,0.0034,0.0003,0.0017,0.0000,0.0053,0.0002,Raining at 12 PM.
96,10/10/2012,Wed,8:03,16:16,0.05617,0.05622,5,5,0.00005,8:13,493,2465,20.28,1.67,188,30.55,59.90,0.0039,0.0002,0.0025,0.0001,0.0000,0.0003,0.0042,0.0000,0.0071,0.0004,
97,13/10/2012,Sat,8:12,16:12,0.05485,0.05491,5,5,0.00006,8:00,480,2400,25.00,1.56,114,28.69,77.58,0.0015,0.0001,0.0027,0.0001,0.0081,0.0003,0.0044,0.0000,0.0154,0.0004,Raining at 2 PM.
98,17/10/2012,Wed,8:14,16:14,0.05437,0.05446,5,5,0.00009,8:00,480,2400,37.50,0.39,137,30.21,67.38,0.0000,0.0000,0.0030,0.0001,0.0011,0.0003,0.0043,0.0000,0.0080,0.0004,
99,20/10/2012,Sat,8:11,16:25,0.07467,0.07476,5,5,0.00009,8:14,494,2470,36.44,2.14,128,29.61,73.11,0.0000,0.0000,0.0088,0.0001,0.0000,0.0004,0.0028,0.0000,0.0061,0.0013,
100,24/10/2012,Wed,8:08,16:11,0.08236,0.08246,5,5,0.00010,8:03,483,2415,41.41,2.60,153,28.55,78.89,0.0002,0.0000,0.0027,0.0001,0.0067,0.0004,0.0067,0.0000,0.0124,0.0009,
