Pb,Cd,Fe,Mn,Mg,Ni,Zn,Be,Ca,Cu,pm10
0,0,141.4084507,2.136820926,0,13.8028169,261.3843058,0,366.4386318,79.49295775,20.12072435
0,0,186.8128773,2.91750503,0,24.49899396,275.7263581,0,396.2615694,59.88732394,44.26559356
0,0,173.6213992,3.78600823,0,23.40740741,288.9506173,0,528.2674897,10.70781893,24.69135802
0,0,110.0655738,0.799180328,0,15.26229508,136.4344262,0,0,13.59836066,32.78688525
0,0,149.127789,2.202839757,0,18.10547667,299.2332657,0,153.2900609,44.86815416,28.39756592
0,0,105.044898,1.106122449,64.18367347,18.00408163,128.2367347,0,195.8979592,8.926530612,44.89795918
107.9513185,9.52535497,130.7829615,1.967545639,0,19.38336714,319.346856,0,327.2697769,24.31643002,20.28397566
0,0.289583333,139.3208333,2.145833333,407.8708333,21.775,331.0166667,0,913.5333333,24.35,25
0,0,162.05,3.408333333,0,15.7125,326.4791667,0,373.9583333,23.775,37.5
0,0,586.8663968,1.963562753,0,15.27530364,211.5870445,0,236.8623482,84.59919028,36.43724696
0,0,145.7722567,2.434782609,297.1759834,23.72256729,504.8364389,0,705.1221532,55.30434783,41.40786749
